2026-03-22 13:04:20 | INFO    | bayes_eval | ================================================================================
2026-03-22 13:04:20 | INFO    | bayes_eval | Logger initialized
2026-03-22 13:04:20 | INFO    | bayes_eval | log_file=./contextual.check.run.log
2026-03-22 13:04:20 | INFO    | bayes_eval | level=INFO
2026-03-22 13:04:20 | INFO    | bayes_eval | ================================================================================
2026-03-22 13:04:20 | INFO    | bayes_eval | === Start Evaluation Run | Seed=2025 ===
2026-03-22 13:04:20 | INFO    | bayes_eval | Reading litmus file list...
2026-03-22 13:04:20 | INFO    | bayes_eval | Loading data from ../../../log/cache_norm.jsonl ...
2026-03-22 13:04:20 | INFO    | bayes_eval | Total records loaded: 27755
2026-03-22 13:04:20 | INFO    | bayes_eval | Train size: 19428
2026-03-22 13:04:20 | INFO    | bayes_eval | Test size:  8327
2026-03-22 13:04:20 | INFO    | bayes_eval | Building training set...
2026-03-22 13:04:20 | INFO    | bayes_eval | Start fitting...
2026-03-22 13:04:21 | INFO    | bayes_eval | Evaluating on test set (Batch Mode)...
2026-03-22 13:04:21 | INFO    | bayes_eval | Batch prediction prepared. Valid samples: 8327/8327
2026-03-22 13:04:22 | INFO    | bayes_eval | Prediction finished in 0.0462s
2026-03-22 13:04:22 | INFO    | bayes_eval | ============================================================
2026-03-22 13:04:22 | INFO    | bayes_eval | LITMUS NAME                    | SAMPLES | TOP-1 MATCH? | ACTUAL BEST | MODEL PICK
2026-03-22 13:04:22 | INFO    | bayes_eval | ------------------------------------------------------------
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-addr+ctrlfencei-rfi-ctrl | 14    | NO           | 9.38       | 1.08      
2026-03-22 13:04:22 | INFO    | bayes_eval | S                              | 13    | YES          | 13.22      | 13.22     
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-ctrl+fence.rw.w          | 18    | YES          | 56.51      | 56.51     
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-addr+ctrl-rfi-ctrlf | 23    | NO           | 178.85     | 134.21    
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+po-addr+pos-po-addr         | 20    | YES          | 2.92       | 2.92      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.w.w+po-addr            | 14    | NO           | 1.32       | 0.58      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-data+data-rfi-ctrlfencei | 20    | NO           | 3.83       | 0.20      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+fence.rw.rw+rfi-addr        | 18    | YES          | 4.97       | 4.97      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.w.w+rfi-addr           | 14    | YES          | 3.63       | 3.63      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.w.w+po-addrs           | 24    | NO           | 2.53       | 1.44      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-addr+ctrl-rfi-ctrlfence | 16    | NO           | 333.49     | 74.25     
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-data+ctrl-rfi-ctrl       | 20    | NO           | 2.59       | 0.53      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+fence.rw.rw+rfi-data-rfi    | 22    | YES          | 8.51       | 8.51      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-data+ctrlfencei-rfi-add | 24    | NO           | 1.08       | 0.09      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+fence.rw.rw+rfi-ctrl-rfi    | 20    | YES          | 7.85       | 7.85      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-data+data-rfi-addr      | 14    | NO           | 1.21       | 0.65      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-addr+addr               | 16    | YES          | 0.84       | 0.84      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP                             | 17    | YES          | 1.27       | 1.27      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+po+pos-po-ctrlfenceis       | 19    | NO           | 12.24      | 10.08     
2026-03-22 13:04:22 | INFO    | bayes_eval | LB+po+poaqp+NEW                | 17    | YES          | 1.15       | 1.15      
2026-03-22 13:04:22 | INFO    | bayes_eval | 2+2W+rfi-datas                 | 17    | YES          | 5.92       | 5.92      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-addr+data-rfi-ctrlfence | 26    | YES          | 1663.15    | 1663.15   
2026-03-22 13:04:22 | INFO    | bayes_eval | S+fence.rw.rw+po               | 23    | NO           | 16.09      | 6.90      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-po+po-ctrlfencei        | 18    | NO           | 31.08      | 7.77      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+wsi-rfi-ctrls               | 23    | NO           | 1.77       | 1.35      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-addr+data                | 24    | NO           | 6.87       | 6.15      
2026-03-22 13:04:22 | INFO    | bayes_eval | 2+2W+fence.rw.rw+rfi-data      | 21    | NO           | 2.09       | 1.47      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-ctrl+addr-rfi-ctrlfencei | 21    | NO           | 2.17       | 0.90      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+fence.rw.rw+ctrl-cleaninit  | 22    | YES          | 8.67       | 8.67      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-data+addr-rfi-ctrlf | 18    | YES          | 218.55     | 218.55    
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-data+rfi-ctrl-rfi        | 15    | NO           | 1.48       | 0.77      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-data+rfi-ctrlfencei      | 18    | NO           | 104.26     | 50.82     
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+fence.rw.rw+data-wsi-rfi-ad | 19    | NO           | 19.45      | 9.94      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-ctrl+data-rfi-addr       | 15    | YES          | 4.56       | 4.56      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-ctrl+addr-rfi-addr  | 30    | NO           | 3.39       | 1.27      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-ctrl+fence.r.rw     | 23    | YES          | 1.54       | 1.54      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-addr+pos-pos-ctrlfencei | 14    | NO           | 32.48      | 24.97     
2026-03-22 13:04:22 | INFO    | bayes_eval | 2+2W+rfi-ctrl+rfi-ctrlfencei   | 24    | NO           | 13.11      | 5.60      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+porlrl+po+NEW                | 18    | NO           | 2.48       | 1.82      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-ctrl+addr           | 17    | NO           | 3.10       | 0.04      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB                             | 17    | YES          | 2.48       | 2.48      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+fence.rw.w+po-addr           | 16    | YES          | 3.81       | 3.81      
2026-03-22 13:04:22 | INFO    | bayes_eval | R+rfi-ctrl+rfi-ctrlfencei      | 22    | NO           | 131.72     | 100.22    
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-data+data-rfi           | 25    | YES          | 9.72       | 9.72      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+po-addr+pos-po-ctrlfenceis  | 14    | NO           | 2.29       | 1.32      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-data+ctrlfencei-rfi-ctr | 19    | YES          | 412.25     | 412.25    
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-po+po-addr              | 12    | NO           | 0.98       | 0.97      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+po+po-addr                  | 25    | YES          | 2.44       | 2.44      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+pos-po+pos-po-addr          | 27    | YES          | 4.19       | 4.19      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-addr+fence.rw.rw    | 27    | NO           | 1.71       | 1.51      
2026-03-22 13:04:22 | INFO    | bayes_eval | SB+rfi-data-rfi+rfi-ctrlfencei | 26    | YES          | 2.64       | 2.64      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-data+data-rfi-ctrl       | 21    | NO           | 1.62       | 1.24      
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-ctrl+data                | 25    | NO           | 31.27      | 13.22     
2026-03-22 13:04:22 | INFO    | bayes_eval | S+rfi-data+fence.rw.rw         | 20    | YES          | 21.50      | 21.50     
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-addr+addr           | 17    | YES          | 6.07       | 6.07      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+rfi-data+ctrl-rfi-ctrlfence | 28    | NO           | 49.34      | 0.15      
2026-03-22 13:04:22 | INFO    | bayes_eval | 2+2W+po+porlrl+NEW             | 17    | YES          | 0.92       | 0.92      
2026-03-22 13:04:22 | INFO    | bayes_eval | MP+pos-rfi-ctrl+ctrlfencei-rfi | 20    | YES          | 280.99     | 280.99    
